,House Price,House Address,"Coordinates[lat, lng]",House url,House Image url
0,"$450,000","5017 Marathon Dr, Madison, WI 53705","[43.0644254, -89.4633425]",https://www.redfin.com//WI/Madison/5017-Marathon-Dr-53705/home/57640552,https://ssl.cdn-redfin.com/photo/129/bigphoto/752/1927752_3.jpg
1,"$474,900","2738 Kendall Ave, Madison, WI 53705","[43.0716471, -89.43533769999999]",https://www.redfin.com//WI/Madison/2738-Kendall-Ave-53705/home/57605999,https://ssl.cdn-redfin.com/photo/129/bigphoto/886/1928886_1.jpg
2,"$440,000","213 S Segoe Rd, Madison, WI 53705","[43.06377759999999, -89.45462540000001]",https://www.redfin.com//WI/Madison/213-S-Segoe-Rd-53705/home/89905408,https://ssl.cdn-redfin.com/photo/129/bigphoto/708/1928708_1.jpg
3,"$524,900","202 Natchez Trce, Madison, WI 53705","[43.0696242, -89.48853030000001]",https://www.redfin.com//WI/Madison/202-Natchez-Trce-53705/home/89900485,https://ssl.cdn-redfin.com/photo/129/bigphoto/665/1928665_1.jpg
4,"$375,000","625 N Segoe Rd #810, Madison, WI 53705","[43.0738058, -89.4560707]",https://www.redfin.com//WI/Madison/625-N-Segoe-Rd-53705/unit-810/home/89927111,https://ssl.cdn-redfin.com/photo/129/bigphoto/598/1928598_1.jpg
5,"$349,000","2849 Harvey St, Madison, WI 53705","[43.073861, -89.4383682]",https://www.redfin.com//WI/Madison/2849-Harvey-St-53705/home/57605692,https://ssl.cdn-redfin.com/photo/129/bigphoto/517/1928517_0.jpg
6,"$379,900","214 N Owen Dr, Madison, WI 53705","[43.0687502, -89.44779079999999]",https://www.redfin.com//WI/Madison/214-N-Owen-Dr-53705/home/89905560,https://ssl.cdn-redfin.com/photo/129/bigphoto/369/1928369_1.jpg
7,"$450,000","3100 Lake Mendota Dr #103, Madison, WI 53705","[43.0871635, -89.4454552]",https://www.redfin.com//WI/Madison/3100-Lake-Mendota-Dr-53705/unit-103/home/57798474,https://ssl.cdn-redfin.com/photo/129/bigphoto/744/1927744_0.jpg
8,"$725,000","5316 Lake Mendota Dr, Madison, WI 53705","[43.0813289, -89.4701745]",https://www.redfin.com//WI/Madison/5316-Lake-Mendota-Dr-53705/home/89904020,https://ssl.cdn-redfin.com/photo/129/bigphoto/856/1927856_0.jpg
9,"$720,000","625 N Segoe Rd #300, Madison, WI 53705","[43.0738058, -89.4560707]",https://www.redfin.com//WI/Madison/625-N-Segoe-Rd-53705/unit-300/home/89928509,https://ssl.cdn-redfin.com/photo/129/bigphoto/938/1925938_2.jpg
10,"$435,000","625 N Segoe Rd #303, Madison, WI 53705","[43.0738058, -89.4560707]",https://www.redfin.com//WI/Madison/625-N-Segoe-Rd-53705/unit-303/home/57843990,https://ssl.cdn-redfin.com/photo/129/bigphoto/112/1925112_1.jpg
11,"$184,900","705 Harbor House Dr #6, Madison, WI 53719","[43.0490565, -89.50783009999999]",https://www.redfin.com//WI/Madison/705-Harbor-House-Dr-53719/unit-6/home/62386717,https://ssl.cdn-redfin.com/photo/129/bigphoto/587/1927587_0.jpg
12,"$498,500","21 Fiskdale Cir, Madison, WI 53717","[43.07974919999999, -89.5032159]",https://www.redfin.com//WI/Madison/21-Fiskdale-Cir-53717/home/89899804,https://ssl.cdn-redfin.com/photo/129/bigphoto/833/1928833_4.jpg
